country,country1,country2,country_others,director,director_cn1,director_cn2,director_en1,director_en2,info,movie_name,ranking,score,tag,year
USA,USA,,,John G. Avildsen,,,John G. Avildsen,,"3 December 1976 (USA)
",Rocky,229,8.0,"Drama,Sport",1976
USA,USA,,,Peter Weir,,,Peter Weir,,"9 June 1989 (USA)
",Dead Poets Society,225,8.0,"Comedy,Drama",1989
USA,USA,,,Billy Wilder,,,Billy Wilder,,"4 July 1951 (USA)
",Ace in the Hole,228,8.0,"Drama,Film-Noir",1951
"USA,UK",USA,UK,,David Yates,,,David Yates,,"15 July 2011 (USA)
",Harry Potter and the Deathly Hallows: Part 2,222,8.0,"Adventure,Drama,Fantasy",2011
"UK,South Africa,Italy",UK,South Africa,Italy,Terry George,,,Terry George,,"4 February 2005 (USA)
",Hotel Rwanda,223,8.0,"Biography,Drama,History",2004
Mexico,Mexico,,,Alejandro G. Iñárritu,,,Alejandro G. Iñárritu,,"13 April 2001 (USA)
",Amores Perros,224,8.0,"Drama,Thriller",2000
USA,USA,,,Alfred Hitchcock,,,Alfred Hitchcock,,"12 April 1940 (USA)
",Rebecca,227,8.0,"Drama,Mystery,Romance",1940
USA,USA,,,Raoul Walsh,,,Raoul Walsh,,"3 September 1949 (USA)
",White Heat,230,8.0,"Action,Crime,Drama",1949
France,France,,,François Truffaut,,,François Truffaut,,"16 November 1959 (USA)
",The 400 Blows,221,8.0,"Crime,Drama",1959
USA,USA,,,William Wyler,,,William Wyler,,"29 January 1960 (Brazil)
",Ben-Hur,218,8.1,"Adventure,Drama,History",1959
UK,UK,,,"Michael Powell,Emeric Pressburger",,,Michael Powell,Emeric Pressburger,"6 September 1948 (UK)
",The Red Shoes,219,8.0,"Drama,Music,Romance",1948
USA,USA,,,Clint Eastwood,,,Clint Eastwood,,"28 January 2005 (USA)
",Million Dollar Baby,212,8.1,"Drama,Sport",2004
USA,USA,,,James Mangold,,,James Mangold,,"3 March 2017 (USA)
",Logan,217,8.1,"Action,Drama,Sci-Fi",2017
"UK,USA",UK,USA,,Lasse Hallström,,,Lasse Hallström,,"12 March 2010 (UK)
",Hachi: A Dog's Tale,213,8.1,"Drama,Family",2009
"UK,Germany,USA",UK,Germany,USA,Ron Howard,,,Ron Howard,,"27 September 2013 (USA)
",Rush,214,8.1,"Biography,Drama,Sport",2013
"USA,UK",USA,UK,,Oliver Stone,,,Oliver Stone,,"6 February 1987 (USA)
",Platoon,209,8.1,"Drama,War",1986
"Australia,USA,South Africa",Australia,USA,South Africa,George Miller,,,George Miller,,"15 May 2015 (USA)
",Mad Max: Fury Road,208,8.1,"Action,Adventure,Sci-Fi",2015
France,France,,,Carl Theodor Dreyer,,,Carl Theodor Dreyer,,"25 October 1928 (France)
",The Passion of Joan of Arc,210,8.1,"Biography,Drama,History",1928
"UK,USA",UK,USA,,Stanley Kubrick,,,Stanley Kubrick,,"18 December 1975 (USA)
",Barry Lyndon,211,8.1,"Adventure,Drama,History",1975
USA,USA,,,Tom McCarthy,,,Tom McCarthy,,"20 November 2015 (USA)
",Spotlight,226,8.0,"Biography,Crime,Drama",2015
India,India,,,Rakeysh Omprakash Mehra,,,Rakeysh Omprakash Mehra,,"26 January 2006 (USA)
",Rang De Basanti,215,8.1,"Comedy,Drama",2006
UK,UK,,,Terry Jones,,,Terry Jones,,"17 August 1979 (USA)
",Monty Python's Life of Brian,207,8.1,Comedy,1979
USA,USA,,,Sidney Lumet,,,Sidney Lumet,,"27 November 1976 (USA)
",Network,205,8.1,Drama,1976
USA,USA,,,Rob Reiner,,,Rob Reiner,,"26 November 1986 (USA)
",Stand by Me,206,8.1,"Adventure,Drama",1986
"France,Italy",France,Italy,,Henri-Georges Clouzot,,,Henri-Georges Clouzot,,"16 February 1955 (USA)
",The Wages of Fear,204,8.1,"Adventure,Drama,Thriller",1953
USA,USA,,,Denis Villeneuve,,,Denis Villeneuve,,"20 September 2013 (USA)
",Prisoners,201,8.1,"Crime,Drama,Mystery",2013
USA,USA,,,Sean Penn,,,Sean Penn,,"19 October 2007 (USA)
",Into the Wild,202,8.1,"Adventure,Biography,Drama",2007
USA,USA,,,Stuart Rosenberg,,,Stuart Rosenberg,,"1 November 1967 (USA)
",Cool Hand Luke,200,8.1,"Crime,Drama",1967
"USA,UK",USA,UK,,Steve McQueen,,,Steve McQueen,,"8 November 2013 (USA)
",12 Years a Slave,203,8.1,"Biography,Drama,History",2013
Sweden,Sweden,,,Ingmar Bergman,,,Ingmar Bergman,,"16 March 1967 (USA)
",Persona,197,8.1,"Drama,Thriller",1966
"USA,Canada",USA,Canada,,Steven Spielberg,,,Steven Spielberg,,"25 December 2002 (USA)
",Catch Me If You Can,199,8.1,"Biography,Crime,Drama",2002
"USA,Austria,Switzerland",USA,Austria,Switzerland,Richard Linklater,,,Richard Linklater,,"27 January 1995 (USA)
",Before Sunrise,198,8.1,"Drama,Romance",1995
USA,USA,,,Frank Capra,,,Frank Capra,,"19 October 1939 (USA)
",Mr. Smith Goes to Washington,192,8.1,"Comedy,Drama",1939
USA,USA,,,"Dean DeBlois,Chris Sanders",,,Dean DeBlois,Chris Sanders,"26 March 2010 (USA)
",How to Train Your Dragon,193,8.1,"Animation,Action,Adventure",2010
"Germany,USA",Germany,USA,,Wes Anderson,,,Wes Anderson,,"28 March 2014 (USA)
",The Grand Budapest Hotel,196,8.1,"Adventure,Comedy,Crime",2014
Soviet Union,Soviet Union,,,Andrei Tarkovsky,,,Andrei Tarkovsky,,"October 1973 (USA)
",Andrei Rublev,216,8.1,"Biography,Drama,History",1966
"Spain,UK",Spain,UK,,"Sergio Pablos,Carlos Martínez López",,,Sergio Pablos,Carlos Martínez López,"15 November 2019 (USA)
",Klaus,191,8.1,"Animation,Adventure,Comedy",2019
USA,USA,,,"Clyde Bruckman,Buster Keaton",,,Clyde Bruckman,Buster Keaton,"24 February 1927 (France)
",The General,194,8.1,"Action,Adventure,Comedy",1926
USA,USA,,,Buster Keaton,,,Buster Keaton,,"11 May 1924 (USA)
",Sherlock Jr.,195,8.1,"Action,Comedy,Romance",1924
South Korea,South Korea,,,Bong Joon Ho,,,Bong Joon Ho,,"2 May 2003 (South Korea)
",Memories of Murder,190,8.1,"Action,Crime,Drama",2003
Australia,Australia,,,Adam Elliot,,,Adam Elliot,,"9 April 2009 (Australia)
",Mary and Max,186,8.1,"Animation,Comedy,Drama",2009
"Australia,USA",Australia,USA,,Mel Gibson,,,Mel Gibson,,"4 November 2016 (USA)
",Hacksaw Ridge,189,8.1,"Biography,Drama,History",2016
USA,USA,,,David Fincher,,,David Fincher,,"3 October 2014 (USA)
",Gone Girl,188,8.1,"Drama,Mystery,Thriller",2014
"Japan,USA",Japan,USA,,Hayao Miyazaki,,,Hayao Miyazaki,,"25 November 1987 (USA)
",Nausicaä of the Valley of the Wind,220,8.0,"Animation,Adventure,Fantasy",1984
"USA,UK",USA,UK,,"Joel Coen,Ethan Coen",,,Joel Coen,Ethan Coen,"6 March 1998 (USA)
",The Big Lebowski,184,8.1,"Comedy,Crime,Sport",1998
USA,USA,,,Peter Weir,,,Peter Weir,,"5 June 1998 (USA)
",The Truman Show,183,8.1,"Comedy,Drama,Sci-Fi",1998
"Argentina,Spain",Argentina,Spain,,Damián Szifron,,,Damián Szifron,,"21 August 2014 (Argentina)
",Wild Tales,185,8.1,"Comedy,Drama,Thriller",2014
"Ireland,UK",Ireland,UK,,Jim Sheridan,,,Jim Sheridan,,"25 February 1994 (USA)
",In the Name of the Father,187,8.1,"Biography,Drama",1993
"Turkey,France,Bulgaria",Turkey,France,Bulgaria,Yavuz Turgul,,,Yavuz Turgul,,"29 November 1996 (Turkey)
",The Bandit,178,8.1,"Crime,Drama,Thriller",1996
Soviet Union,Soviet Union,,,Andrei Tarkovsky,,,Andrei Tarkovsky,,"17 April 1980 (Netherlands)
",Stalker,182,8.1,"Drama,Sci-Fi",1979
India,India,,,Jeethu Joseph,,,Jeethu Joseph,,"19 December 2013 (India)
",Drishyam,180,8.1,"Crime,Drama,Thriller",2013
Japan,Japan,,,Yasujirô Ozu,,,Yasujirô Ozu,,"13 March 1972 (USA)
",Tokyo Story,181,8.1,Drama,1953
"USA,Japan",USA,Japan,,Quentin Tarantino,,,Quentin Tarantino,,"10 October 2003 (USA)
",Kill Bill: Vol. 1,177,8.1,"Action,Crime,Thriller",2003
"Germany,USA",Germany,USA,,Clint Eastwood,,,Clint Eastwood,,"9 January 2009 (USA)
",Gran Torino,176,8.1,Drama,2008
Sweden,Sweden,,,Ingmar Bergman,,,Ingmar Bergman,,"22 June 1959 (USA)
",Wild Strawberries,173,8.1,"Drama,Romance",1957
"USA,UK",USA,UK,,"Joel Coen,Ethan Coen",,,Joel Coen,Ethan Coen,"5 April 1996 (USA)
",Fargo,175,8.1,"Crime,Drama,Thriller",1996
India,India,,,Sriram Raghavan,,,Sriram Raghavan,,"5 October 2018 (USA)
",Andhadhun,174,8.1,"Crime,Thriller",2018
USA,USA,,,Elia Kazan,,,Elia Kazan,,"22 June 1954 (Japan)
",On the Waterfront,171,8.1,"Crime,Drama,Thriller",1954
USA,USA,,,Steven Spielberg,,,Steven Spielberg,,"11 June 1993 (USA)
",Jurassic Park,170,8.1,"Action,Adventure,Sci-Fi",1993
"USA,Australia",USA,Australia,,"Andrew Stanton,Lee Unkrich",,,Andrew Stanton,Lee Unkrich,"30 May 2003 (USA)
",Finding Nemo,172,8.1,"Animation,Adventure,Comedy",2003
UK,UK,,,Carol Reed,,,Carol Reed,,"12 October 1949 (France)
",The Third Man,168,8.1,"Film-Noir,Mystery,Thriller",1949
USA,USA,,,Michael Cimino,,,Michael Cimino,,"23 February 1979 (USA)
",The Deer Hunter,179,8.1,"Drama,War",1978
USA,USA,,,Martin Scorsese,,,Martin Scorsese,,"27 November 2019 (USA)
",The Irishman,169,8.1,"Biography,Crime,Drama",2019
"UK,USA",UK,USA,,David Lean,,,David Lean,,"14 December 1957 (USA)
",The Bridge on the River Kwai,166,8.1,"Adventure,Drama,War",1957
"USA,Hong Kong,UK",USA,Hong Kong,UK,Ridley Scott,,,Ridley Scott,,"25 June 1982 (USA)
",Blade Runner,167,8.1,"Action,Sci-Fi,Thriller",1982
USA,USA,,,Martin Scorsese,,,Martin Scorsese,,"19 February 2010 (USA)
",Shutter Island,162,8.1,"Mystery,Thriller",2010
USA,USA,,,John Carpenter,,,John Carpenter,,"25 June 1982 (USA)
",The Thing,164,8.1,"Horror,Mystery,Sci-Fi",1982
USA,USA,,,"Victor Fleming,George Cukor,1 more credit",,,Victor Fleming,George Cukor,"17 January 1940 (USA)
",Gone with the Wind,165,8.1,"Drama,History,Romance",1939
USA,USA,,,M. Night Shyamalan,,,M. Night Shyamalan,,"6 August 1999 (USA)
",The Sixth Sense,163,8.1,"Drama,Mystery,Thriller",1999
UK,UK,,,Danny Boyle,,,Danny Boyle,,"9 August 1996 (USA)
",Trainspotting,159,8.1,Drama,1996
"Ireland,Canada,UK,USA",Ireland,Canada,"UK,USA",Lenny Abrahamson,,,Lenny Abrahamson,,"22 January 2016 (USA)
",Room,161,8.1,"Drama,Thriller",2015
"USA,UK",USA,UK,,David Lynch,,,David Lynch,,"10 October 1980 (USA)
",The Elephant Man,160,8.1,"Biography,Drama",1980
"USA,Mexico",USA,Mexico,,"Ethan Coen,Joel Coen",,,Ethan Coen,Joel Coen,"21 November 2007 (USA)
",No Country for Old Men,158,8.1,"Crime,Drama,Thriller",2007
"USA,UK,Germany",USA,UK,Germany,James McTeigue,,,James McTeigue,,"17 March 2006 (USA)
",V for Vendetta,154,8.1,"Action,Drama,Sci-Fi",2005
Sweden,Sweden,,,Ingmar Bergman,,,Ingmar Bergman,,"13 October 1958 (USA)
",The Seventh Seal,156,8.1,"Drama,Fantasy",1957
USA,USA,,,Gavin O'Connor,,,Gavin O'Connor,,"9 September 2011 (USA)
",Warrior,157,8.1,"Drama,Sport",2011
USA,USA,,,Alfred Hitchcock,,,Alfred Hitchcock,,"29 May 1954 (USA)
",Dial M for Murder,153,8.1,"Crime,Thriller",1954
USA,USA,,,Paul Thomas Anderson,,,Paul Thomas Anderson,,"25 January 2008 (USA)
",There Will Be Blood,152,8.1,Drama,2007
Turkey,Turkey,,,Çagan Irmak,,,Çagan Irmak,,"18 November 2005 (Turkey)
",My Father and My Son,149,8.1,"Drama,Family",2005
USA,USA,,,Roman Polanski,,,Roman Polanski,,"20 June 1974 (USA)
",Chinatown,150,8.1,"Drama,Mystery,Thriller",1974
USA,USA,,,Charles Chaplin,,,Charles Chaplin,,"13 July 1925 (Brazil)
",The Gold Rush,151,8.1,"Adventure,Comedy,Drama",1925
USA,USA,,,"Pete Docter,Ronnie Del Carmen",,,Pete Docter,Ronnie Del Carmen,"19 June 2015 (USA)
",Inside Out,155,8.1,"Animation,Adventure,Comedy",2015
USA,USA,,,Stanley Kramer,,,Stanley Kramer,,"18 December 1961 (Sweden)
",Judgment at Nuremberg,147,8.1,"Drama,War",1961
"UK,USA",UK,USA,,Martin McDonagh,,,Martin McDonagh,,"1 December 2017 (USA)
","Three Billboards Outside Ebbing, Missouri",148,8.1,"Comedy,Crime,Drama",2017
"USA,Mexico",USA,Mexico,,John Huston,,,John Huston,,"24 January 1948 (USA)
",The Treasure of the Sierra Madre,146,8.1,"Adventure,Drama,Western",1948
"Argentina,Spain",Argentina,Spain,,Juan José Campanella,,,Juan José Campanella,,"21 May 2010 (USA)
",The Secret in Their Eyes,143,8.2,"Drama,Mystery,Romance",2009
UK,UK,,,Guy Ritchie,,,Guy Ritchie,,"28 August 1998 (UK)
","Lock, Stock and Two Smoking Barrels",144,8.2,"Comedy,Crime",1998
Soviet Union,Soviet Union,,,Elem Klimov,,,Elem Klimov,,"17 October 1985 (Hungary)
",Come and See,141,8.2,"Drama,War",1985
"Mexico,Spain",Mexico,Spain,,Guillermo del Toro,,,Guillermo del Toro,,"19 January 2007 (USA)
",Pan's Labyrinth,140,8.2,"Drama,Fantasy,War",2006
"USA,France",USA,France,,Martin Scorsese,,,Martin Scorsese,,"22 November 1995 (USA)
",Casino,139,8.2,"Crime,Drama",1995
USA,USA,,,Martin Scorsese,,,Martin Scorsese,,"25 December 2013 (USA)
",The Wolf of Wall Street,145,8.1,"Biography,Crime,Drama",2013
USA,USA,,,Martin Scorsese,,,Martin Scorsese,,"19 December 1980 (USA)
",Raging Bull,142,8.2,"Biography,Drama,Sport",1980
USA,USA,,,Ron Howard,,,Ron Howard,,"4 January 2002 (USA)
",A Beautiful Mind,136,8.2,"Biography,Drama",2001
"UK,USA",UK,USA,,Noah Baumbach,,,Noah Baumbach,,"6 December 2019 (USA)
",Marriage Story,138,8.2,"Comedy,Drama,Romance",2019
USA,USA,,,Joseph L. Mankiewicz,,,Joseph L. Mankiewicz,,"27 October 1950 (USA)
",All About Eve,137,8.2,Drama,1950
Japan,Japan,,,Hayao Miyazaki,,,Hayao Miyazaki,,"13 July 1990 (USA)
",My Neighbor Totoro,134,8.2,"Animation,Family,Fantasy",1988
USA,USA,,,John Sturges,,,John Sturges,,"4 July 1963 (USA)
",The Great Escape,133,8.2,"Adventure,Drama,History",1963
USA,USA,,,Billy Wilder,,,Billy Wilder,,"19 March 1959 (USA)
",Some Like It Hot,131,8.2,"Comedy,Music,Romance",1959
Japan,Japan,,,Hayao Miyazaki,,,Hayao Miyazaki,,"17 June 2005 (USA)
",Howl's Moving Castle,132,8.2,"Animation,Adventure,Family",2004
"USA,France",USA,France,,James Mangold,,,James Mangold,,"15 November 2019 (USA)
",Ford v Ferrari,129,8.2,"Action,Biography,Drama",2019
Iran,Iran,,,Majid Majidi,,,Majid Majidi,,"22 January 1999 (USA)
",Children of Heaven,130,8.2,"Drama,Family,Sport",1997
"Germany,Austria,Italy",Germany,Austria,Italy,Oliver Hirschbiegel,,,Oliver Hirschbiegel,,"8 April 2005 (USA)
",Downfall,128,8.2,"Biography,Drama,History",2004
"Japan,France",Japan,France,,Akira Kurosawa,,,Akira Kurosawa,,"1 June 1985 (Japan)
",Ran,135,8.2,"Action,Drama",1985
USA,USA,,,Peter Farrelly,,,Peter Farrelly,,"16 November 2018 (USA)
",Green Book,127,8.2,"Biography,Comedy,Drama",2018
Japan,Japan,,,Akira Kurosawa,,,Akira Kurosawa,,"26 December 1951 (USA)
",Rashomon,122,8.2,"Crime,Drama,Mystery",1950
USA,USA,,,Clint Eastwood,,,Clint Eastwood,,"7 August 1992 (USA)
",Unforgiven,126,8.2,"Drama,Western",1992
Japan,Japan,,,Akira Kurosawa,,,Akira Kurosawa,,"13 September 1961 (USA)
",Yojimbo,125,8.2,"Action,Drama,Thriller",1961
USA,USA,,,Michael Mann,,,Michael Mann,,"15 December 1995 (USA)
",Heat,121,8.2,"Crime,Drama,Thriller",1995
USA,USA,,,John McTiernan,,,John McTiernan,,"20 July 1988 (USA)
",Die Hard,123,8.2,"Action,Thriller",1988
"Canada,France",Canada,France,,Denis Villeneuve,,,Denis Villeneuve,,"12 January 2011 (France)
",Incendies,118,8.2,"Drama,Mystery,War",2010
UK,UK,,,"Terry Gilliam,Terry Jones",,,Terry Gilliam,Terry Jones,"25 May 1975 (UK)
",Monty Python and the Holy Grail,120,8.2,"Adventure,Comedy,Fantasy",1975
"USA,UK",USA,UK,,Christopher Nolan,,,Christopher Nolan,,"15 June 2005 (USA)
",Batman Begins,124,8.2,"Action,Adventure",2005
USA,USA,,,"Pete Docter,Bob Peterson",,,Pete Docter,Bob Peterson,"29 May 2009 (USA)
",Up,117,8.2,"Animation,Adventure,Comedy",2009
USA,USA,,,Curtis Hanson,,,Curtis Hanson,,"19 September 1997 (USA)
",L.A. Confidential,119,8.2,"Crime,Drama,Mystery",1997
USA,USA,,,Steven Spielberg,,,Steven Spielberg,,"24 May 1989 (USA)
",Indiana Jones and the Last Crusade,116,8.2,"Action,Adventure",1989
USA,USA,,,Robert Mulligan,,,Robert Mulligan,,"16 March 1963 (USA)
",To Kill a Mockingbird,114,8.2,"Crime,Drama",1962
USA,USA,,,Billy Wilder,,,Billy Wilder,,"16 September 1960 (France)
",The Apartment,115,8.2,"Comedy,Drama,Romance",1960
"Lebanon,France,USA,Cyprus,Qatar",Lebanon,France,"USA,Cyprus,Qatar",Nadine Labaki,,,Nadine Labaki,,"29 April 2019 (China)
",Capernaum,113,8.2,Drama,2018
"Italy,Spain,West Germany",Italy,Spain,West Germany,Sergio Leone,,,Sergio Leone,,"10 May 1967 (USA)
",For a Few Dollars More,109,8.2,Western,1965
Japan,Japan,,,Akira Kurosawa,,,Akira Kurosawa,,"25 March 1956 (USA)
",Ikiru,112,8.2,Drama,1952
USA,USA,,,Lee Unkrich,,,Lee Unkrich,,"18 June 2010 (USA)
",Toy Story 3,106,8.2,"Animation,Adventure,Comedy",2010
"Iran,France",Iran,France,,Asghar Farhadi,,,Asghar Farhadi,,"13 November 2012 (China)
",A Separation,110,8.2,Drama,2011
UK,UK,,,David Lean,,,David Lean,,"11 December 1962 (UK)
",Lawrence of Arabia,105,8.2,"Adventure,Biography,Drama",1962
USA,USA,,,George Roy Hill,,,George Roy Hill,,"25 December 1973 (USA)
",The Sting,107,8.2,"Comedy,Crime,Drama",1973
USA,USA,,,Billy Wilder,,,Billy Wilder,,"6 July 1944 (USA)
",Double Indemnity,111,8.2,"Crime,Drama,Film-Noir",1944
Germany,Germany,,,Fritz Lang,,,Fritz Lang,,"13 March 1927 (USA)
",Metropolis,108,8.2,"Drama,Sci-Fi",1927
USA,USA,,,Martin Scorsese,,,Martin Scorsese,,"9 February 1976 (USA)
",Taxi Driver,104,8.2,"Crime,Drama",1976
Italy,Italy,,,Vittorio De Sica,,,Vittorio De Sica,,"13 December 1949 (USA)
",Bicycle Thieves,100,8.2,Drama,1948
"France,Germany",France,Germany,,Jean-Pierre Jeunet,,,Jean-Pierre Jeunet,,"8 February 2002 (USA)
",Amélie,101,8.2,"Comedy,Romance",2001
USA,USA,,,Brian De Palma,,,Brian De Palma,,"9 December 1983 (USA)
",Scarface,102,8.2,"Crime,Drama",1983
USA,USA,,,"Stanley Donen,Gene Kelly",,,Stanley Donen,Gene Kelly,"11 April 1952 (USA)
",Singin' in the Rain,103,8.2,"Comedy,Musical,Romance",1952
"UK,USA",UK,USA,,Stanley Kubrick,,,Stanley Kubrick,,"2 February 1972 (USA)
",A Clockwork Orange,97,8.3,"Crime,Drama,Sci-Fi",1971
USA,USA,,,Charles Chaplin,,,Charles Chaplin,,"6 February 1921 (USA)
",The Kid,99,8.2,"Comedy,Drama,Family",1921
USA,USA,,,Alfred Hitchcock,,,Alfred Hitchcock,,"26 September 1959 (Japan)
",North by Northwest,96,8.3,"Adventure,Mystery,Thriller",1959
"UK,USA",UK,USA,,Stanley Kubrick,,,Stanley Kubrick,,"10 July 1987 (USA)
",Full Metal Jacket,95,8.3,"Drama,War",1987
"UK,USA",UK,USA,,Guy Ritchie,,,Guy Ritchie,,"19 January 2001 (USA)
",Snatch,98,8.3,"Comedy,Crime",2000
USA,USA,,,Orson Welles,,,Orson Welles,,"5 September 1941 (USA)
",Citizen Kane,93,8.3,"Drama,Mystery",1941
"Denmark,Sweden",Denmark,Sweden,,Thomas Vinterberg,,,Thomas Vinterberg,,"10 January 2013 (Denmark)
",The Hunt,94,8.3,Drama,2012
USA,USA,,,Darren Aronofsky,,,Darren Aronofsky,,"15 December 2000 (USA)
",Requiem for a Dream,88,8.3,Drama,2000
India,India,,,Nitesh Tiwari,,,Nitesh Tiwari,,"21 December 2016 (USA)
",Dangal,90,8.3,"Action,Biography,Drama",2016
"USA,UK",USA,UK,,Stanley Kubrick,,,Stanley Kubrick,,"12 May 1968 (UK)
",2001: A Space Odyssey,89,8.3,"Adventure,Sci-Fi",1968
USA,USA,,,Gus Van Sant,,,Gus Van Sant,,"9 January 1998 (USA)
",Good Will Hunting,86,8.3,"Drama,Romance",1997
USA,USA,,,Quentin Tarantino,,,Quentin Tarantino,,"2 September 1992 (France)
",Reservoir Dogs,84,8.3,"Crime,Drama,Thriller",1992
