Afghanistan,AFG,阿富汗
Norfolk Island,NFK,诺福克
Northern Mariana Islands,MNP,北马里亚纳群岛
Palau,PLW,帕劳群岛
Papua New Guinea,PNG,巴布亚新几内亚
Pitcairn Islands,PCN,皮特凯恩
Samoa,WSM,萨摩亚
Solomon Islands,SLB,所罗门群岛
Timor-Leste,TLS,东帝汶
Tokelau,TKL,托克劳
Tonga,TON,汤加
Tuvalu,TUV,图瓦卢
United States Minor Outlying Islands,UMI,美属外岛
Vanuatu,VUT,瓦努阿图
Wallis and Futuna,WLF,瓦利斯和福图纳
St. Martin (French part),MAF,密克罗尼西亚
Anguilla,AIA,安圭拉
Antigua and Barbuda,ATG,安提瓜岛和巴布达
Aruba,ABW,阿鲁巴
Bahamas,BHS,巴哈马
Barbados,BRB,巴巴多斯岛
Belize,BLZ,伯利兹
Bermuda,BMU,百慕大
Canada,CAN,加拿大
Cayman Islands,CYM,开曼群岛
Costa Rica,CRI,哥斯达黎加
Cuba,CUB,古巴
Dominica,DMA,多米尼加
Dominican Republic,DOM,多米尼加共和国
El Salvador,SLV,萨尔瓦多
Greenland,GRL,格陵兰
Grenada,GRD,格林纳达
Guadeloupe,GLP,瓜德罗普
Guatemala,GTM,危地马拉
Haiti,HTI,海地
Honduras,HND,洪都拉斯
Jamaica,JAM,牙买加
Martinique,MTQ,马提尼克
Mexico,MEX,墨西哥
Montserrat,MSR,蒙特塞拉特
Netherlands Antilles,ANT,荷属安地列斯
Nicaragua,NIC,尼加拉瓜
Panama,PAN,巴拿马
Puerto Rico,PRI,波多黎各
St.Kitts and Nevis,KNA,圣基茨和尼维斯
St.Lucia,LCA,圣卢西亚
St.Pierre and Miquelon,SPM,圣皮埃尔和米克隆群岛
St.Vincent and the Grenadines,VCT,圣文森特和格林纳丁斯
Trinidad and Tobago,TTO,特立尼达和多巴哥
Turks and Caicos Islands,TCA,特克斯和凯科斯群岛
United States,USA,美国
Virgin Islands,VIR,维尔京群岛，美属
Virgin Islands,British,VGB,维尔京群岛，英属
Antarctica,ATA,南极洲
Bouvet Island,BVT,布韦岛
Falkland Islands,FLK,福克兰群岛
French Southern and Antarctic Lands,ATF,法属南部领地
South Georgia and South Sandwich Islands,SGS,南乔治亚和南桑威奇群岛
Argentina,ARG,阿根廷
Bolivia,BOL,玻利维亚
Brazil,BRA,巴西
Chile,CHL,智利
Colombia,COL,哥伦比亚
Ecuador,ECU,厄瓜多尔
French Guiana,GUF,法属圭亚那
Guyana,GUY,圭亚那
Paraguay,PRY,巴拉圭
Peru,PER,秘鲁
Suriname,SUR,苏里南
Uruguay,URY,乌拉圭
Venezuela,VEN,委内瑞拉
